-10	0.048370956	-0.003439818	0.058081582	0.059542498					HbO2 AUC	HbRAUC	HbO2AMP	HbRAMP		Normalized				
-7.64	-0.057281329	-0.012611303	0.058005117	0.05946411				-0.16	-0.086664805	0.076907788	0.058537338	0.060009718		-0.16	-0.004101027	-0.001635728	-9.6651E-07	-9.90821E-07
-7.6	-0.058694383	-0.010111563	0.058007086	0.059466129				-0.12	-0.087157987	0.077380611	0.058524155	0.059996203		-0.12	-0.004594209	-0.001162905	-1.41498E-05	-1.45057E-05
-7.56	-0.061561803	-0.007612401	0.057998989	0.059457828				-0.08	-0.085089178	0.077541751	0.058525152	0.059997225		-0.08	-0.0025254	-0.001001765	-1.31528E-05	-1.34836E-05
-7.52	-0.062276929	-0.005043036	0.05799954	0.059458392				-0.04	-0.083317392	0.077914343	0.058525295	0.059997372		-0.04	-0.000753614	-0.000629173	-1.30094E-05	-1.33366E-05
-7.48	-0.062589859	-0.002685525	0.057999868	0.059458729				0	-0.082563778	0.078543516	0.058538305	0.060010709		0	0	0	0	0
-7.44	-0.062815285	-0.000197484	0.05800091	0.059459797				0.04	-0.080670969	0.079112902	0.058538316	0.06001072		0.04	0.001892809	0.000569385	1.15368E-08	1.18269E-08
-7.4	-0.062705256	0.002190551	0.058002238	0.059461159				0.08	-0.078635401	0.079618739	0.05853829	0.060010694		0.08	0.003928377	0.001075222	-1.40689E-08	-1.44228E-08
-7.36	-0.063869622	0.004509946	0.057994742	0.059453474				0.12	-0.077545675	0.080138863	0.058548687	0.060021352		0.12	0.005018103	0.001595347	1.03822E-05	1.06434E-05
-7.32	-0.062961717	0.006757886	0.05799692	0.059455707				0.16	-0.07603581	0.080398039	0.058560472	0.060033434		0.16	0.006527968	0.001854523	2.21674E-05	2.2725E-05
-7.28	-0.061299913	0.008889086	0.057996177	0.059454945				0.2	-0.073626588	0.080518493	0.058560634	0.060033599		0.2	0.00893719	0.001974976	2.23292E-05	2.28908E-05
-7.24	-0.059936653	0.010850898	0.057998074	0.05945689				0.24	-0.071706494	0.080654592	0.058560486	0.060033449		0.24	0.010857284	0.002111076	2.2182E-05	2.27399E-05
-7.2	-0.058241894	0.012689228	0.05799892	0.059457757				0.28	-0.069750125	0.080619318	0.058560325	0.060033283		0.28	0.012813653	0.002075802	2.20207E-05	2.25746E-05
-7.16	-0.056275683	0.014332091	0.057999875	0.059458736				0.32	-0.067804682	0.080383416	0.058559977	0.060032926		0.32	0.014759096	0.0018399	2.16724E-05	2.22176E-05
-7.12	-0.05400695	0.01576323	0.05800092	0.059459807				0.36	-0.066144341	0.079930893	0.058559389	0.060032324		0.36	0.016419437	0.001387377	2.10846E-05	2.16149E-05
-7.08	-0.051369626	0.017039068	0.058001171	0.059460065				0.4	-0.063842714	0.079132289	0.058559702	0.060032644		0.4	0.018721064	0.000588772	2.1397E-05	2.19352E-05
-7.04	-0.048571058	0.018096198	0.058002807	0.059461742				0.44	-0.064305647	0.078138742	0.058557239	0.06003012		0.44	0.018258131	-0.000404774	1.89348E-05	1.94111E-05
-7	-0.046032924	0.018934654	0.05800353	0.059462483				0.48	-0.062738887	0.077116372	0.058557013	0.060029887		0.48	0.019824891	-0.001427144	1.87081E-05	1.91786E-05
-6.96	-0.04483543	0.019615306	0.05799551	0.059454261				0.52	-0.060909638	0.075663268	0.058557	0.060029875		0.52	0.02165414	-0.002880248	1.86959E-05	1.91662E-05
-6.92	-0.041387461	0.019941133	0.057995641	0.059454396				0.56	-0.059305427	0.073971794	0.058556957	0.06002983		0.56	0.023258351	-0.004571722	1.86524E-05	1.91216E-05
-6.88	-0.038361052	0.020211966	0.057996899	0.059455685				0.6	-0.057600843	0.072071818	0.058557257	0.060030138		0.6	0.024962935	-0.006471698	1.89527E-05	1.94294E-05
-6.84	-0.035288512	0.020227816	0.057997847	0.059456658				0.64	-0.056534477	0.070144222	0.058557263	0.060030144		0.64	0.026029301	-0.008399295	1.89586E-05	1.94354E-05
-6.8	-0.032318907	0.020017411	0.057999147	0.05945799				0.68	-0.057446446	0.068006733	0.058544763	0.06001733		0.68	0.025117332	-0.010536783	6.45845E-06	6.6209E-06
-6.76	-0.029358895	0.019605835	0.057999628	0.059458483				0.72	-0.058270547	0.065740817	0.058534289	0.060006592		0.72	0.024293231	-0.012802699	-4.01588E-06	-4.11689E-06
-6.72	-0.026435052	0.018981577	0.058000271	0.059459142				0.76	-0.057777017	0.063366727	0.058534291	0.060006594		0.76	0.024786761	-0.015176789	-4.01352E-06	-4.11448E-06
-6.68	-0.023445807	0.017886598	0.058001404	0.059460303				0.8	-0.057482618	0.06083924	0.058534363	0.060006668		0.8	0.02508116	-0.017704276	-3.94124E-06	-4.04038E-06
-6.64	-0.023703748	0.016512876	0.057965923	0.05942393				0.84	-0.057587327	0.058184893	0.058534479	0.060006786		0.84	0.024976451	-0.020358623	-3.82593E-06	-3.92216E-06
-6.6	-0.021521364	0.015142909	0.057966554	0.059424577				0.88	-0.057869249	0.055452116	0.058534624	0.060006935		0.88	0.024694528	-0.0230914	-3.68082E-06	-3.77341E-06
-6.56	-0.019410516	0.013526152	0.057966457	0.059424478				0.92	-0.058499389	0.052624477	0.05853449	0.060006798		0.92	0.024064389	-0.025919039	-3.81481E-06	-3.91076E-06
-6.52	-0.017702078	0.01164159	0.057966856	0.059424886				0.96	-0.060190567	0.049842525	0.058544896	0.060017466		0.96	0.022373211	-0.028700991	6.59148E-06	6.75727E-06
-6.48	-0.015845351	0.009466388	0.057968193	0.059426257				1	-0.062333581	0.046780173	0.058532676	0.060004938		1	0.020230197	-0.031763344	-5.62861E-06	-5.77019E-06
-6.44	-0.01415785	0.006964797	0.057970153	0.059428267				1.04	-0.062840354	0.043768803	0.058532862	0.060005129		1.04	0.019723424	-0.034774713	-5.44236E-06	-5.57925E-06
-6.4	-0.014263479	0.004136182	0.057963164	0.059421101				1.08	-0.065381141	0.040811948	0.058516847	0.059988711		1.08	0.017182637	-0.037731569	-2.1458E-05	-2.19977E-05
-6.36	-0.014488903	0.000895003	0.057953783	0.059411485				1.12	-0.066486203	0.038191114	0.058516665	0.059988525		1.12	0.016077575	-0.040352402	-2.16393E-05	-2.21836E-05
-6.32	-0.013479244	-0.002388169	0.057954784	0.059412511				1.16	-0.067482304	0.035536823	0.05851664	0.059988499		1.16	0.015081474	-0.043006693	-2.16643E-05	-2.22092E-05
-6.28	-0.012126184	-0.006150171	0.057955829	0.059413582				1.2	-0.068451319	0.033033462	0.058516608	0.059988467		1.2	0.014112459	-0.045510054	-2.16962E-05	-2.22419E-05
-6.24	-0.013169607	-0.010018865	0.057946061	0.059403568				1.24	-0.069715894	0.030859427	0.058516351	0.059988203		1.24	0.012847884	-0.04768409	-2.19536E-05	-2.25058E-05
-6.2	-0.012591506	-0.014082446	0.057947839	0.059405392				1.28	-0.07106359	0.028927718	0.058516243	0.059988092		1.28	0.011500188	-0.049615798	-2.20616E-05	-2.26165E-05
-6.16	-0.013651329	-0.018332697	0.057940864	0.059398241				1.32	-0.074024628	0.027220566	0.058502463	0.059973965		1.32	0.00853915	-0.05132295	-3.58419E-05	-3.67434E-05
-6.12	-0.01332939	-0.022674856	0.057941617	0.059399013				1.36	-0.075536892	0.025834874	0.058501998	0.059973489		1.36	0.007026886	-0.052708642	-3.63061E-05	-3.72193E-05
-6.08	-0.031479484	-0.01765861	0.058498747	0.059970157				1.4	-0.078167057	0.024533841	0.058487283	0.059958404		1.4	0.004396721	-0.054009675	-5.10212E-05	-5.23046E-05
-6.04	-0.031380309	-0.022021762	0.058499909	0.059971347				1.44	-0.079082684	0.023547835	0.058487271	0.059958392		1.44	0.003481094	-0.054995681	-5.10333E-05	-5.2317E-05
-6	-0.031681233	-0.026291171	0.058500743	0.059972202				1.48	-0.081157273	0.023089553	0.058497469	0.059968846		1.48	0.001406505	-0.055453963	-4.08354E-05	-4.18625E-05
-5.96	-0.031901955	-0.030795734	0.058501457	0.059972934				1.52	-0.082512497	0.022883194	0.058497425	0.0599688		1.52	5.12805E-05	-0.055660322	-4.088E-05	-4.19082E-05
-5.92	-0.032083085	-0.03504438	0.058501553	0.059973033				1.56	-0.086336498	0.023043427	0.05849236	0.059963608		1.56	-0.00377272	-0.055500089	-4.59446E-05	-4.71002E-05
-5.88	-0.032224856	-0.039210509	0.058502261	0.059973758				1.6	-0.087449453	0.02352019	0.058492339	0.059963587		1.6	-0.004885675	-0.055023327	-4.59651E-05	-4.71212E-05
-5.84	-0.03361694	-0.043225281	0.058497498	0.059968876				1.64	-0.088303138	0.02411102	0.058492495	0.059963747		1.64	-0.00573936	-0.054432496	-4.5809E-05	-4.69612E-05
-5.8	-0.033151183	-0.047194936	0.058499265	0.059970688				1.68	-0.08881344	0.024784186	0.058493361	0.059964634		1.68	-0.006249662	-0.05375933	-4.49439E-05	-4.60744E-05
-5.76	-0.032679734	-0.050686889	0.058500181	0.059971626				1.72	-0.090321951	0.026135931	0.058493449	0.059964725		1.72	-0.007758173	-0.052407586	-4.48554E-05	-4.59836E-05
-5.72	-0.032416126	-0.05382363	0.058501204	0.059972675				1.76	-0.091808996	0.027736519	0.058493644	0.059964925		1.76	-0.009245218	-0.050806997	-4.46602E-05	-4.57836E-05
-5.68	-0.031997902	-0.056514476	0.058501013	0.059972479				1.8	-0.093352314	0.029600615	0.058493656	0.059964937		1.8	-0.010788536	-0.048942901	-4.46488E-05	-4.57718E-05
-5.64	-0.031556897	-0.058756716	0.058502271	0.059973769				1.84	-0.096472969	0.031656298	0.058479838	0.059950772		1.84	-0.013909191	-0.046887218	-5.84662E-05	-5.99368E-05
-5.6	-0.030925053	-0.060498448	0.058503467	0.059974995				1.88	-0.097541361	0.033789488	0.058480119	0.059951059		1.88	-0.014977583	-0.044754029	-5.81857E-05	-5.96492E-05
-5.56	-0.030200409	-0.061712853	0.058504625	0.059976182				1.92	-0.099109531	0.036279373	0.058480143	0.059951084		1.92	-0.016545753	-0.042264144	-5.81615E-05	-5.96244E-05
-5.52	-0.029041123	-0.062537271	0.058506316	0.059977916				1.96	-0.102798595	0.039106323	0.058528961	0.06000113		1.96	-0.020234817	-0.039437194	-9.34327E-06	-9.57828E-06
-5.48	-0.028350999	-0.062616944	0.058506779	0.05997839				2	-0.104630906	0.041979757	0.058528889	0.060001056		2	-0.022067128	-0.036563759	-9.41589E-06	-9.65273E-06
-5.44	-0.027447782	-0.062150326	0.058507336	0.059978961				2.04	-0.106162864	0.044767701	0.058528717	0.06000088		2.04	-0.023599086	-0.033775815	-9.58764E-06	-9.8288E-06
-5.4	-0.026526653	-0.061209027	0.058507763	0.059979399				2.08	-0.111032564	0.047616309	0.058474503	0.059945302		2.08	-0.028468786	-0.030927208	-6.38019E-05	-6.54067E-05
-5.36	-0.025311653	-0.059836074	0.058508517	0.059980172				2.12	-0.113873274	0.050896364	0.05848861	0.059959765		2.12	-0.031309496	-0.027647152	-4.96942E-05	-5.09441E-05
-5.32	-0.02379358	-0.058105319	0.05850964	0.059981323				2.16	-0.11578699	0.054226973	0.058488357	0.059959505		2.16	-0.033223212	-0.024316543	-4.99476E-05	-5.12039E-05
-5.28	-0.024539425	-0.056452649	0.058472855	0.059943612				2.2	-0.117263291	0.057412944	0.058488289	0.059959435		2.2	-0.034699513	-0.021130572	-5.00155E-05	-5.12735E-05
-5.24	-0.024056024	-0.054143065	0.058465861	0.059936443				2.24	-0.118958458	0.060796555	0.058488096	0.059959237		2.24	-0.03639468	-0.017746961	-5.02083E-05	-5.14712E-05
-5.2	-0.021871439	-0.051629267	0.058466637	0.059937239				2.28	-0.123429068	0.063946756	0.058438221	0.059908107		2.28	-0.04086529	-0.01459676	-0.000100084	-0.000102601
-5.16	-0.019317783	-0.049140502	0.058467806	0.059938437				2.32	-0.124753822	0.067340125	0.058438151	0.059908036		2.32	-0.042190044	-0.011203391	-0.000100153	-0.000102673
-5.12	-0.01675092	-0.046695061	0.058468492	0.059939141				2.36	-0.126022858	0.070653176	0.058438299	0.059908187		2.36	-0.04345908	-0.00789034	-0.000100006	-0.000102521
-5.08	-0.013045391	-0.044764177	0.058469343	0.059940012				2.4	-0.127182879	0.073919172	0.058438369	0.05990826		2.4	-0.044619101	-0.004624344	-9.99353E-05	-0.000102449
-5.04	-0.009733802	-0.042719112	0.058469827	0.059940509				2.44	-0.129662413	0.077049889	0.058424807	0.059894357		2.44	-0.047098635	-0.001493627	-0.000113497	-0.000116352
-5	-0.006321088	-0.040996778	0.058470653	0.059941356				2.48	-0.13036783	0.080137914	0.058424512	0.059894054		2.48	-0.047804052	0.001594397	-0.000113793	-0.000116655
-4.96	-0.002578091	-0.039637331	0.058470913	0.059941622				2.52	-0.135781394	0.083170486	0.058422754	0.059892252		2.52	-0.053217616	0.00462697	-0.000115551	-0.000118457
-4.92	0.001916417	-0.038938235	0.058471785	0.059942516				2.56	-0.13579827	0.086110122	0.05842305	0.059892555		2.56	-0.053234492	0.007566605	-0.000115254	-0.000118153
-4.88	0.004711761	-0.038558675	0.058464334	0.059934878				2.6	-0.136449029	0.088970167	0.058435982	0.059905812		2.6	-0.053885251	0.010426651	-0.000102323	-0.000104897
-4.84	0.010043103	-0.039029242	0.058465601	0.059936177				2.64	-0.135982604	0.091630522	0.058435892	0.059905721		2.64	-0.053418826	0.013087006	-0.000102412	-0.000104988
-4.8	0.013295499	-0.039705796	0.058457668	0.059928044				2.68	-0.13516107	0.094122749	0.058435741	0.059905565		2.68	-0.052597292	0.015579232	-0.000102563	-0.000105143
-4.76	0.018333983	-0.040934817	0.058458217	0.059928607				2.72	-0.133718243	0.096430135	0.058435817	0.059905643		2.72	-0.051154465	0.017886619	-0.000102487	-0.000105065
-4.72	0.023782494	-0.042737008	0.05845861	0.059929009				2.76	-0.133345142	0.098481547	0.05848429	0.059955336		2.76	-0.050781364	0.01993803	-5.40143E-05	-5.53729E-05
-4.68	0.029511717	-0.045101187	0.058458732	0.059929134				2.8	-0.131092746	0.100434415	0.058484479	0.059955529		2.8	-0.048528968	0.021890899	-5.38255E-05	-5.51794E-05
-4.64	0.035598883	-0.048027026	0.058460621	0.059931071				2.84	-0.128082726	0.101987525	0.058484909	0.05995597		2.84	-0.045518948	0.023444009	-5.33959E-05	-5.47389E-05
-4.6	0.041536333	-0.051484449	0.058461058	0.05993152				2.88	-0.124937714	0.103477857	0.058485158	0.059956226		2.88	-0.042373936	0.024934341	-5.31461E-05	-5.44829E-05
-4.56	0.047383833	-0.055422996	0.058461651	0.059932127				2.92	-0.122562716	0.104497246	0.05847069	0.059941394		2.92	-0.039998938	0.02595373	-6.76142E-05	-6.93149E-05
-4.52	0.053408966	-0.059848108	0.058462298	0.05993279				2.96	-0.120101137	0.105663418	0.058523318	0.059995345		2.96	-0.037537359	0.027119902	-1.49866E-05	-1.53636E-05
-4.48	0.059685217	-0.06466013	0.058463093	0.059933606				3	-0.115068979	0.106461175	0.058523717	0.059995754		3	-0.032505201	0.027917659	-1.45878E-05	-1.49547E-05
-4.44	0.066283241	-0.070018658	0.058463546	0.05993407				3.04	-0.109510867	0.106983113	0.058523776	0.059995815		3.04	-0.026947089	0.028439597	-1.4528E-05	-1.48935E-05
-4.4	0.071113527	-0.075452544	0.058454154	0.059924441				3.08	-0.106739517	0.107189787	0.058472864	0.059943622		3.08	-0.024175739	0.02864627	-6.54406E-05	-6.70866E-05
-4.36	0.077409861	-0.080994531	0.058454602	0.059924901				3.12	-0.099562705	0.107027789	0.058473131	0.059943896		3.12	-0.016998927	0.028484272	-6.51738E-05	-6.68131E-05
-4.32	0.084037289	-0.086619327	0.058455566	0.059925889				3.16	-0.091782736	0.106576921	0.058473374	0.059944145		3.16	-0.009218958	0.028033405	-6.49307E-05	-6.65639E-05
-4.28	0.091138747	-0.092623895	0.058457249	0.059927614				3.2	-0.084819448	0.106114318	0.058486685	0.05995779		3.2	-0.00225567	0.027570802	-5.162E-05	-5.29184E-05
-4.24	0.097313339	-0.098121355	0.058457679	0.059928055				3.24	-0.076657601	0.105281876	0.058486665	0.05995777		3.24	0.005906177	0.02673836	-5.16396E-05	-5.29385E-05
-4.2	0.103813975	-0.103429439	0.058457626	0.059928001				3.28	-0.067863459	0.103976131	0.058486661	0.059957766		3.28	0.014700319	0.025432614	-5.16433E-05	-5.29423E-05
-4.16	0.109983274	-0.108429794	0.058457652	0.059928028				3.32	-0.059070125	0.102523488	0.058486556	0.059957658		3.32	0.023493653	0.023979972	-5.17487E-05	-5.30504E-05
